"","stimulus","h_index","modal_response","proportion_response","emotional_score","humanmade_score","outdoors_score","shoebox_score","memory_hits","dprime"
"1005","MeatGrinder.jpg",3.16992500144231,"meat grinder",0.222222222222222,-0.494619887495983,1,0.428571428571429,0.285714285714286,0.884615384615385,1.90468226514701
"1006","MeatRaw.jpg",1.23198178140114,"steak",0.736842105263158,1.54363761546214,0.111111111111111,0,0.111111111111111,0.923076923076923,3.17676294352502
"1007","MechanicalSpring.jpg",1.12846467014408,"spring",0.823529411764706,-0.431130643134571,1,0.428571428571429,0.285714285714286,0.846153846153846,2.44615310505905
"1008","Megaphone.jpg",2.53585777591828,"megaphone",0.473684210526316,0.473297110991652,1,0.688888888888889,1,0.888888888888889,2.03787717087675
"1009","MemoPaperSpike.jpg",3.3502090290999,"paper holder",0.222222222222222,-0.556363462081138,1,0,0.111111111111111,0.666666666666667,2.46756143099685
"1010","MetalChain.jpg",2.1333874913166,"chain",0.588235294117647,-0.117149366421573,1,0.375,0.125,0.857142857142857,2.51367411679632
"1011","MetalDetector.jpg",1.66883888985043,"metal detector",0.666666666666667,-0.396042513762416,1,0.813953488372093,0.75,0.69811320754717,1.38387594089648
"1012","MeterElectric.jpg",2.69619904981486,"meter",0.411764705882353,-0.458127064336555,1,1,0.166666666666667,0.666666666666667,2.1623916954177
"1013","Microphone.jpg",1.98335457094438,"microphone",0.628571428571429,-0.264276793535026,1,0.125,0.666666666666667,0.68,1.85069292621515
"1014","Microscope.jpg",1.55345928372839,"microscope",0.740740740740741,0.0507371384524576,1,0,1,0.846153846153846,1.69456598298228
"1015","Microwave.jpg",1.10631371386483,"microwave",0.8,-0.556363462081138,1,0,1,0.678571428571429,1.7055745433005
"1016","MilkJug.jpg",3.47135448701393,"milk jug",0.210526315789474,-0.405228465281564,1,0.375,0.75,0.851851851851852,1.39316449038964
"1017","MilkPitcher.jpg",2.96706475397547,"milk",0.388888888888889,0.125709707911457,0.888888888888889,0.142857142857143,0.777777777777778,0.827586206896552,2.94509316050046
"1018","Milkshake_Chocolate.jpg",2.05632607578088,"milkshake",0.529411764705882,1.64391359545541,1,0.285714285714286,0.285714285714286,0.777777777777778,1.37985077838236
"1019","Milkshake_Strawberry.jpg",2.29162019342794,"milkshake",0.529411764705882,0.838329494997425,1,0.125,0,0.9,2.22622115693908
"1020","Milkshake_StrawberryStraw.jpg",2.36957100385527,"milkshake",0.388888888888889,1.74372636285632,1,0.285714285714286,0,0.92,2.14138747768576
"1021","Mirror_Carside.jpg",2.85645801632683,"mirror",0.342857142857143,-0.246187004966541,1,0.777777777777778,0.333333333333333,0.777777777777778,2.21081326670456
"1022","Mirror_Dental.jpg",3.11583409216322,"dental mirror",0.210526315789474,-1.11448303291032,1,0.111111111111111,0.125,0.666666666666667,1.37539689068993
"1023","Mirror_Handheld.jpg",2.78273152052189,"magnifying glass",0.391304347826087,-0.380639172662995,1,0.119047619047619,0.142857142857143,0.775510204081633,1.824687821449
"1024","Mirror_Makeup.jpg",1.33724493929588,"mirror",0.736842105263158,0.183069940062318,1,0.2,0.333333333333333,0.772727272727273,1.81542911864144
"1025","Missile.jpg",2.98112486065736,"rocket",0.382352941176471,0.868566974867837,1,0.625,0.9,0.888888888888889,2.4412806976947
"1026","Mitt_Blue.jpg",1.23325252406329,"mitten",0.714285714285714,0.00103430295552813,1,0.75,0,0.857142857142857,2.16437408597166
"1027","Mitt_Oven.jpg",2.85811846309797,"oven mitt",0.368421052631579,-0.216209198659602,1,0.0975609756097561,0.142857142857143,0.75,2.17557569624011
"1028","Mixer_Cement.jpg",2.72548055699787,"cement mixer",0.444444444444444,-0.245167152935117,1,0.857142857142857,1,0.826086956521739,2.43990026292093
"1029","Mixer_Hand.jpg",2.49807754662364,"mixer",0.352941176470588,-0.590432390791007,1,0,0.857142857142857,0.625,0.913817897297653
"1030","MixingGlass.jpg",3.57246945877014,"cup",0.176470588235294,-0.837915054976558,1,0.142857142857143,0.3,0.740740740740741,1.79598012965199
"1031","MobilityScooter.jpg",3.42636748847323,"scooter",0.263157894736842,0.0150555311134046,1,1,1,0.846153846153846,1.75639215016233
"1032","MonaLisa.jpg",1.85715302225504,"painting",0.444444444444444,0.83145039457967,1,0.166666666666667,1,0.916666666666667,3.09466943361037
"1033","MoneyBill50.jpg",1.87847751298812,"money",0.631578947368421,0.466974974285565,1,0.333333333333333,0,0.892857142857143,3.06051238469338
"1034","Monitor.jpg",2.60397572661071,"computer monitor",0.294117647058824,0.249519405487752,1,0,0.888888888888889,0.807692307692308,2.99746900747387
"1035","MonkeyPuppet.jpg",3.39214722366453,"puppet",0.222222222222222,0.326107526567991,1,0,0,0.909090909090909,2.59732291274174
"1036","Mop.jpg",1.33724493929588,"mop",0.736842105263158,-0.709116309929542,1,0.142857142857143,0.9,0.785714285714286,1.96662539980946
"1037","MortarPestle_BlackStone.jpg",2.93149316746191,"mortar and pestle",0.411764705882353,0.190992116100428,1,0,0.142857142857143,0.903225806451613,2.7462570262816
"1038","MortarPestle_WhiteMarble.jpg",3.76789414761962,"mortar and pestle",0.208333333333333,0.0814309345202331,1,0.142857142857143,0.125,0.928571428571429,2.74678535823012
"1039","Motorcycle.jpg",0.879506460812006,"motorcycle",0.842105263157895,1.74184378003309,1,1,1,0.933333333333333,3.1459395729955
"1040","MousepadAndMouse.jpg",2.53313296787878,"mouse pad",0.305555555555556,-0.223771571709136,1,0.25,0.125,0.714285714285714,2.27762412844259
"1041","Mousetrap.jpg",1.32160695838835,"mouse trap",0.705882352941177,-0.0272373009950561,1,0.571428571428571,0.125,0.870967741935484,2.2553158398138
"1042","MouthGuard.jpg",3.50325833477565,"retainer",0.222222222222222,-0.269846130022349,1,0.125,0.125,0.892857142857143,2.97353118796557
"1043","MovieSlate.jpg",3.90576458465545,"",0.166666666666667,0.0863453584569226,1,0.25,0.857142857142857,0.695652173913043,1.91700777418096
"1044","Mug_Beer.jpg",3.00531485689428,"mug",0.263157894736842,-0.370887293137499,1,0.142857142857143,0,0.739130434782609,2.72602245595093
"1045","Mug_Ceramic.jpg",2.0216148719113,"mug",0.352941176470588,-0.603552147091781,1,0,0,0.692307692307692,1.54681101824595
"1046","Mug_Travel.jpg",3.28103611255342,"coffee mug",0.222222222222222,-0.478607061003113,1,0.173913043478261,0.428571428571429,0.82,2.13600543669016
