stimulus,memorability,scaled_memory_hits,X,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Lunchbox.jpg,-0.11223752711830128,0.13623354321694334,1271,-0.672094805060057,0.541926408923347,1,0,0.111111111111111,0.333333333333333,0.222222222222222,0.440958551844098,1,1,0,human-made,indoors,NA,0.0634648370497427,2.473851389610045,canteen,0.5,0,0.5586049170954831
Lychee.jpg,0.024661204325575604,0.5775615340583858,201,-0.363501233381995,0.672476350219517,0.125,0.353553390593274,0.333333333333333,0.516397779494322,1,0,1,0,1,natural,NA,smaller than a shoebox,0.288736420811892,3.03856233607563,fruit,0.2777777777777778,0,0.7747284162378502
Lynx.jpg,-0.03236802476827467,0.34859759587864914,202,1.4623704662633,1.56949878006536,0,0,0.8,0.447213595499958,0.285714285714286,0.487950036474267,1,0,0,natural,NA,NA,0.979988564894225,2.837315742503567,cat,0.2222222222222222,0,0.696969696969697
Machine_Arm.jpg,-0.20820791478014755,0.02919290211791643,1554,0.385159405429326,0.881674980415184,1,0,0.285714285714286,0.487950036474267,0.1,0.316227766016838,1,0,1,human-made,NA,larger than a shoebox,0.792452830188679,3.616348566075164,robot,0.21052631578947367,0,0.9279588336192109
Machine_Bread.jpg,-0.11977768073266477,0.12249570692615913,203,-0.172169895933045,0.857490631801136,1,0,0.130434782608696,0.344350221575091,0.166666666666667,0.408248290463863,1,1,1,human-made,indoors,larger than a shoebox,0.447112635791881,2.970840013101985,bread maker,0.3157894736842105,1,0.7587192681532304
Machine_EKG.jpg,-0.007233051571315712,0.44819690898683456,832,-0.463900408523634,0.805075297370216,1,0,0.142857142857143,0.377964473009227,0.222222222222222,0.440958551844098,1,1,0,human-made,indoors,NA,0.212121212121212,3.572469458770135,ekg machine,0.17647058823529413,1,0.9205260148656375
MagazineRoll.jpg,0.009949136208680761,0.5140240412135089,992,-0.194590128875005,0.565981580543294,1,0,0,0,0.857142857142857,0.377964473009227,1,1,1,human-made,indoors,smaller than a shoebox,0.430531732418525,1.439254017211876,magazine,0.7058823529411765,1,0.18696397941680962
Magnet_Three.jpg,0.11983420018348971,0.8918145392100744,1408,-0.331957338570176,0.33909492953884,1,0,0.285714285714286,0.487950036474267,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.315608919382504,2.984769618706743,three,0.42105263157894735,1,0.7621497998856489
Magnifying_Glass.jpg,-0.06934863070448076,0.23125357756153406,683,-0.604585589699494,0.458881981053028,1,0,0.166666666666667,0.408248290463863,0.875,0.353553390593274,1,1,1,human-made,indoors,smaller than a shoebox,0.101200686106346,2.879506460812006,magnifying glass,0.42105263157894735,0,0.7141223556317896
Mailbox_Antique.jpg,-0.06277386792279502,0.25300515168860904,684,0.264443982599643,0.378375958562274,1,0,0.888888888888889,0.333333333333333,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.73642081189251,2.510056460356539,mailbox,0.3157894736842105,1,0.5734705546026301
