stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Guitar_Acoustic.jpg,0.180133474,0.979393246,0.708546154,1.332708176,1,0,0,0,0.375,0.51754917,1,1,0,human-made,indoors,NA,0.887935963,0.908653934,guitar,0.777777778,0,0.786735277
TreeHouse.jpg,0.038401314,0.63079565,0.666355291,1.179476065,0.875,0.353553391,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.876500858,0.978015557,treehouse,0.764705882,1,0.768439108
Brush_Toilet.jpg,-0.240111289,0.016599886,-0.508633103,0.684428591,1,0,0,0,0.571428571,0.534522484,1,1,0,human-made,indoors,NA,0.170954831,2.783735329,toilet brush,0.304347826,1,0.157232704
Stick_Drum.jpg,-0.024518472,0.378362908,-0.656395552,0.572589751,1,0,0,0,0.875,0.353553391,1,1,1,human-made,indoors,smaller than a shoebox,0.074899943,0.589626181,drum sticks,0.892857143,1,0.874785592
FlintIgniter.jpg,-0.133504755,0.097309674,-0.581905248,0.580096952,1,0,0.125,0.353553391,0.8,0.421637021,1,1,0,human-made,indoors,NA,0.114351058,3.110578015,na,0.263157895,0,0.082332762
Dragonfly.jpg,-0.012472755,0.421293646,0.490376549,1.385192668,0.2,0.421637021,0.875,0.337831962,1,0,0,1,1,NA,outdoors,smaller than a shoebox,0.827329903,1.026313714,dragonfly,0.8,1,0.756432247
GiftBow.jpg,-0.009345554,0.437321122,0.736427431,1.380199303,1,0,0.333333333,0.516397779,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.895940537,1.92470692,bow,0.633333333,1,0.429959977
Ball_Tennis.jpg,0.129650737,0.914138523,-0.417778325,0.618829087,1,0,0.84,0.374165739,0.857142857,0.377964473,1,1,1,human-made,outdoors,smaller than a shoebox,0.244139508,0.51157797,tennis ball,0.911764706,1,0.90165809
Origami_Boat.jpg,0.037378562,0.625643961,-0.225376099,0.607140753,1,0,0.5,0.534522484,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.401372213,1.840223929,paper boat,0.533333333,1,0.457404231
Toy_PandaPlushie.jpg,0.038456747,0.631940469,0.224288431,0.982292249,0.888888889,0.333333333,0.25,0.46291005,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.705546026,2.674877069,panda,0.323529412,0,0.181818182
Shark_GreatWhite.jpg,0.057548365,0.694905552,0.749900323,1.028168233,0,0,0.857142857,0.377964473,0.25,0.46291005,1,1,0,natural,outdoors,NA,0.901086335,0.37313999,shark,0.942857143,1,0.937106918
